created_at,anomaly_score,ph,TDS,water_level,DHT_temp,water_temp
2028-11-14 00:00:00,0.6511277058879982,5.62,1270.82,1.0,23.9,23.96
2028-11-15 00:00:00,0.5718755446691982,5.52,1272.02,1.0,23.9,19.82
2028-11-16 00:00:00,0.6800560748879549,5.56,1272.8,1.0,24.0,23.2
2028-11-17 00:00:00,0.6961797305099221,5.52,1275.24,1.0,23.9,18.23
2028-11-18 00:00:00,0.5895031224385456,5.53,1276.43,1.0,23.9,23.12
2028-11-19 00:00:00,0.6268507638647863,5.62,1277.1,1.0,23.9,22.28
2028-11-20 00:00:00,0.7645565325642323,5.54,1279.1,1.0,23.9,18.96
2028-11-21 00:00:00,0.5659441679401959,5.52,1279.26,1.0,23.9,22.33
2028-11-22 00:00:00,0.6035919210980566,5.61,1281.28,1.0,23.9,21.68
2028-11-23 00:00:00,0.6111845803561871,5.64,1281.75,1.0,23.9,24.01
2028-11-24 00:00:00,0.5743291584159439,5.52,1283.02,1.0,23.9,23.88
2028-11-25 00:00:00,0.6696290299774352,5.59,1283.7,1.0,23.9,24.98
2028-11-26 00:00:00,0.6691566067207158,5.53,1286.03,1.0,23.9,24.76
2028-11-27 00:00:00,0.7296347655832763,5.58,1286.37,1.0,23.9,19.82
2028-11-28 00:00:00,0.576127403623545,5.56,1287.88,1.0,23.9,19.67
2028-11-29 00:00:00,0.5637853879327961,5.63,1290.29,1.0,23.9,19.82
2028-11-30 00:00:00,0.6006548211110885,5.54,1291.69,1.0,23.9,23.13
2028-12-01 00:00:00,0.6845208005402595,5.55,1292.58,1.0,23.9,20.24
2028-12-01 01:00:00,0.6046799320116795,5.61,1292.66,1.0,23.8,20.61
2028-12-01 02:00:00,0.5577618435653348,5.65,1292.74,1.0,23.8,21.18
2028-12-02 00:00:00,0.6168481043124703,5.55,1294.6,1.0,23.8,19.25
2028-12-03 00:00:00,0.6608819603739077,5.62,1295.69,1.0,23.8,20.77
2028-12-04 00:00:00,0.7708213248822052,5.65,1297.61,1.0,23.8,21.01
2028-12-05 00:00:00,0.6037506122558987,5.54,1300.15,1.0,23.8,20.35
2028-12-06 00:00:00,0.5808903440433173,5.62,1301.24,1.0,23.8,19.09
2028-12-07 00:00:00,0.5862713797963952,5.56,1303.27,1.0,23.8,18.4
2028-12-08 00:00:00,0.6658560878425837,5.54,1305.5,1.0,23.7,21.68
2028-12-09 00:00:00,0.6407683978414243,5.58,1307.31,1.0,23.7,20.06
2028-12-10 00:00:00,0.6395447503255497,5.63,1308.2,1.0,23.7,23.16
2028-12-11 00:00:00,0.753015538034679,5.61,1310.74,1.0,23.7,24.6
2028-12-11 02:00:00,0.5499942127953857,5.52,1310.79,1.0,23.7,19.2
2028-12-12 00:00:00,0.6104581632511004,5.64,1312.12,1.0,23.7,21.38
2028-12-15 00:00:00,0.5672015018526806,5.62,1317.15,1.0,23.7,22.76
2028-12-16 00:00:00,0.5968715955013733,5.54,1319.28,1.0,23.7,20.49
